Country;Airport;Code;Pax 2015;;;;;;;;;;;;;;;;
Brazil;Aracaju;AJU;1280006;;;;;;;;;;;;;;;;
Brazil;Belém;BEL;3710100;;;;;;;;;;;;;;;;
Brazil;Boa Vista;BVB;333712;;;;;;;;;;;;;;;;
Brazil;Brasília;BSB;17716601;;;;;;;;;;;;;;;;
Brazil;Campina Grande;CPV;117146;;;;;;;;;;;;;;;;
Brazil;Campinas;CPQ;8667441;;;;;;;;;;;;;;;;
Brazil;Campo de Marte;CBW;151540;;;;;;;;;;;;;;;;
Brazil;Campo Grande;CGR;1547311;;;;;;;;;;;;;;;;
Brazil;Confins/Tancredo Neves;CNF;10326838;;;;;;;;;;;;;;;;
Brazil;Congonhas;CGH;19229818;;;;;;;;;;;;;;;;
Brazil;Cruzeiro do Sul;CZS;77201;;;;;;;;;;;;;;;;
Brazil;Cuiabá;CGB;3303814;;;;;;;;;;;;;;;;
Brazil;Curitiba;CWB;7273323;;;;;;;;;;;;;;;;
Brazil;Florianópolis;FLN;3651627;;;;;;;;;;;;;;;;
Brazil;Fortaleza;FOR;6334444;;;;;;;;;;;;;;;;
Brazil;Foz de Iguaçu;IGU;2055674;;;;;;;;;;;;;;;;
Brazil;Rio de Janeiro Gale?o;GIG;15505843;;;;;;;;;;;;;;;;
Brazil;Goiânia;GYN;3301900;;;;;;;;;;;;;;;;
Brazil;Guarulhos;GRU;38985000;;;;;;;;;;;;;;;;
Brazil;Ilhéus;IOS;615901;;;;;;;;;;;;;;;;
Brazil;Imperatriz;IMP;328474;;;;;;;;;;;;;;;;
Brazil;Jacarepaguá;RIO;200652;;;;;;;;;;;;;;;;
Brazil;Jo?o Pessoa;JPA;1381131;;;;;;;;;;;;;;;;
Brazil;Joinville;JOI;518472;;;;;;;;;;;;;;;;
Brazil;Juazeiro do Norte;JDO;441454;;;;;;;;;;;;;;;;
Brazil;Londrina;LDB;1055985;;;;;;;;;;;;;;;;
Brazil;Macaé;MEA;440624;;;;;;;;;;;;;;;;
Brazil;Macapa;MCP;659892;;;;;;;;;;;;;;;;
Brazil;Maceió;MCZ;1980466;;;;;;;;;;;;;;;;
Brazil;Manaus;MAO;3224212;;;;;;;;;;;;;;;;
Brazil;Marabá;MAB;392838;;;;;;;;;;;;;;;;
Brazil;Montes Claros;MOC;373067;;;;;;;;;;;;;;;;
Brazil;Natal;NAT;2333843;;;;;;;;;;;;;;;;
Brazil;Navegantes;NVT;1473555;;;;;;;;;;;;;;;;
Brazil;Palmas;PMW;638468;;;;;;;;;;;;;;;;
Brazil;Pampulha;PLU;0;;;;;;;;;;;;;;;;
Brazil;Petrolina;PNZ;455253;;;;;;;;;;;;;;;;
Brazil;Porto Alegre;POA;8349170;;;;;;;;;;;;;;;;
Brazil;Porto Velho;PVH;925326;;;;;;;;;;;;;;;;
