Country;Airport;Code;Pax 2015;;;;;;;;;;;;;;
Albania;Tirana;TIA;1 977 044;;;;;;;;;;;;;;
Armenia;Yerevan;EVN;1 879 667;;;;;;;;;;;;;;
Austria;Major airports;;27 326 144;;;;;;;;;;;;;;
Austria;Graz;GRZ;963 396;;;;;;;;;;;;;;
Austria;Innsbruck;INN;1 001 256;;;;;;;;;;;;;;
Austria;Klagenfurt;KLU;227 625;;;;;;;;;;;;;;
Austria;Linz;LNZ;530 504;;;;;;;;;;;;;;
Austria;Salzburg;SZG;1 828 309;;;;;;;;;;;;;;
Austria;Vienna;VIE;22 775 054;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Belgium;Major airports;;30 966 206;;;;;;;;;;;;;;
Belgium;Antwerp;ANR;;;;;;;;;;;;;;;
Belgium;Brussels Charleroi;CRL;6 956 302;;;;;;;;;;;;;;
Belgium;Brussels;BRU;23 460 018;;;;;;;;;;;;;;
Belgium;Liege;LGG;294 848;;;;;;;;;;;;;;
Belgium;Ostend;OST;255 038;;;;;;;;;;;;;;
Bosnia & Herzegovina;Sarajevo;SJJ;772 904;;;;;;;;;;;;;;
Bosnia & Herzegovina;Tuzla;TZL;259 074;;;;;;;;;;;;;;
Bulgaria;Major airports;;7 847 957;;;;;;;;;;;;;;
Bulgaria;Bourgas;BOJ;2 360 320;;;;;;;;;;;;;;
Bulgaria;Sofia;SOF;4 088 943;;;;;;;;;;;;;;
Bulgaria;Varna;VAR;1 398 694;;;;;;;;;;;;;;
Croatia;Major airports;;7 076 098;;;;;;;;;;;;;;
Croatia;Dubrovnik;DBV;1 693 934;;;;;;;;;;;;;;
Croatia;Pula;PUY;351 658;;;;;;;;;;;;;;
Croatia;Split;SPU;1 955 400;;;;;;;;;;;;;;
Croatia;Zadar;ZAD;487 652;;;;;;;;;;;;;;
Croatia;Zagreb;ZAG;2 587 798;;;;;;;;;;;;;;
Cyprus;Larnaca;LCA;5 407 248;;;;;;;;;;;;;;
Cyprus;Paphos;PFO;2 282 361;;;;;;;;;;;;;;
