Country;Airport;Code;Pax 2015;;;;
Australia;Adelaide;ADL;7671143;;;;
Australia;Albury;ABX;241800;;;;
Australia;Alice Springs;ASP;593510;;;;
Australia;Armidale;ARM;125700;;;;
Australia;Ayers Rock;AYQ;316900;;;;
Australia;Ballina;BNK;454600;;;;
Australia;Brisbane;BNE;22025351;;;;
Australia;Brisbane West Wellcamp;WTB;70400;;;;
Australia;Broome;BME;389700;;;;
Australia;Bundaberg;BDB;159000;;;;
Australia;Cairns;CNS;4520732;;;;
Australia;Canberra;CBR;2795998;;;;
Australia;Coffs Harbour;CFS;356700;;;;
Australia;Darwin;DRW;2031349;;;;
Australia;Devonport;DPO;144200;;;;
Australia;Dubbo;DBO;198000;;;;
Australia;Emerald;EMD;209300;;;;
Australia;Geraldton;GET;119200;;;;
Australia;Gladstone;GLT;405759;;;;
Australia;Gold Coast;OOL;6024358;;;;
Australia;Hamilton Island;HLT;486900;;;;
Australia;Hervey Bay;HVB;164000;;;;
Australia;Hobart;HBA;2238350;;;;
Australia;Kalgoorlie;KGI;228800;;;;
Australia;Karratha;KTA;607586;;;;
Australia;Kununurra;KNX;103200;;;;
Australia;Launceston;LST;1284780;;;;
Australia;Mackay;MKY;868932;;;;
Australia;Melbourne;MEL;32789991;;;;
Australia;Mildura;MQL;238800;;;;
Australia;Moranbah;MOV;139000;;;;
Australia;Mount Isa;ISA;202200;;;;
Australia;Newman;ZNE;331300;;;;
Australia;Paraburdoo;PBO;167000;;;;
Australia;Perth;PER;12594031;;;;
Australia;Port Hedland;PHD;419852;;;;
Australia;Port Lincoln;PLO;186000;;;;
Australia;Port Macquarie;PQQ;219300;;;;
Australia;Proserpine;PPP;319100;;;;
Australia;Rockhampton;ROK;614465;;;;
Australia;Roma;ROA;149100;;;;
Australia;Sunshine Coast;MCY;901686;;;;
Australia;Sydney;SYD;39800976;;;;
Australia;Tamworth;TMW;158300;;;;
Australia;Townsville;TSV;1511234;;;;
Australia;Wagga Wagga;WGA;210200;;;;
Australia;Williamtown;NTL;1139699;;;;
